                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5659,                 3.4771,                 5.4619,                 1.5725,                0.84496,                0.00608,                0.01142,                0.00397,                0.10684,                0.00304,                0.01028,                0.00231,                 2.7905,                 4.2207,                 6.0012,                  1.605,             0.00065873,             0.00065873,             0.00065873
                      2,                 2.3079,                 2.8884,                 3.5319,                 1.4397,                0.20544,                0.21884,                0.10979,                0.03327,                0.21207,                0.21277,                0.10804,                0.03473,                 2.6066,                 3.8262,                 4.3661,                 1.5918,               0.001321,               0.001321,               0.001321
                      3,                 2.3143,                 2.8809,                 2.8927,                 1.4629,                0.19432,                0.11656,                  0.046,                0.01074,                0.22979,                0.13784,                0.05901,                0.01348,                 2.9833,                 3.7079,                 4.6958,                 1.7511,              0.0019789,              0.0019789,              0.0019789
                      4,                  2.267,                 2.8679,                 2.6155,                 1.4286,                0.30639,                0.19149,                0.14196,                0.03857,                 0.2775,                0.18237,                 0.1347,                 0.0368,                  2.961,                 4.7487,                 4.1766,                 1.7389,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.2636,                 2.7775,                 2.4346,                 1.4097,                0.20959,                0.22492,                0.11071,                0.04095,                0.20849,                0.22188,                0.10793,                0.04187,                 2.5945,                  8.412,                 3.0482,                 1.6844,              0.0019736,              0.0019736,              0.0019736
                      6,                 2.2338,                 2.7061,                 2.3933,                 1.4157,                0.28673,                0.24012,                0.14871,                0.03925,                0.34019,                0.25228,                0.17919,                0.04605,                  2.703,                 2.9677,                 2.7313,                 1.5697,               0.001967,               0.001967,               0.001967
                      7,                 2.1823,                 2.7006,                 2.1993,                  1.395,                0.28002,                 0.2614,                0.17018,                0.04144,                0.27744,                0.23708,                0.16378,                0.03873,                 2.8765,                 3.3324,                  3.175,                 1.6052,              0.0019604,              0.0019604,              0.0019604
                      8,                  2.187,                 2.6566,                 2.1788,                 1.3851,                0.23894,                0.25532,                0.13923,                0.03819,                0.30797,                0.28267,                0.20356,                0.04746,                 2.6201,                 2.9931,                 2.9078,                 1.4915,              0.0019538,              0.0019538,              0.0019538
                      9,                 2.1729,                 2.6233,                 2.1662,                 1.3741,                0.22859,                0.22067,                0.12959,                0.04373,                0.25468,                  0.231,                0.14521,                0.05123,                 2.3897,                 2.8869,                 2.7702,                 1.4026,              0.0019472,              0.0019472,              0.0019472
                     10,                 2.2127,                 2.6795,                  2.183,                 1.3952,                0.21106,                0.25836,                0.13934,                0.03956,                0.20675,                 0.2462,                0.11685,                0.03017,                 2.6852,                 3.0805,                 3.2624,                 1.5138,              0.0019406,              0.0019406,              0.0019406
                     11,                   2.17,                 2.6366,                 2.1779,                 1.3616,                0.35443,                0.21884,                0.18164,                0.05572,                0.33678,                0.23708,                0.19161,                0.05534,                 2.7582,                 3.2021,                 2.5856,                 1.5795,               0.001934,               0.001934,               0.001934
                     12,                 2.1238,                 2.5721,                 2.0932,                 1.3558,                0.28357,                0.17325,                0.11729,                0.03632,                0.27232,                0.16835,                0.10978,                0.02914,                 2.6495,                 2.9701,                 3.0971,                 1.4919,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.1228,                 2.6067,                 2.1229,                  1.346,                0.31969,                0.23404,                0.18791,                0.05958,                0.25901,                0.28571,                0.18997,                0.05628,                 2.6222,                 3.2616,                 3.0715,                 1.4671,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.1008,                 2.5617,                 2.0857,                 1.3424,                0.23538,                0.17684,                0.11199,                0.03081,                0.21061,                0.16413,                0.09377,                0.02639,                 2.9012,                 3.3726,                 2.9717,                 1.5904,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.0838,                 2.8356,                 2.0887,                 1.3452,                0.35909,                 0.3465,                0.24392,                0.07915,                0.38249,                 0.3617,                0.26335,                  0.081,                 2.4544,                 2.7607,                 3.2387,                 1.4121,              0.0019076,              0.0019076,              0.0019076
                     16,                 2.0942,                 2.5413,                 2.0791,                 1.3279,                0.24211,                0.21581,                0.13617,                 0.0379,                0.25881,                0.22492,                0.14507,                0.03727,                 2.8982,                 3.4531,                 2.8394,                 1.6426,               0.001901,               0.001901,               0.001901
                     17,                 2.1236,                  2.618,                 2.0709,                 1.3409,                0.35813,                0.31003,                 0.2318,                0.06872,                0.32792,                0.29958,                0.21381,                 0.0603,                 2.4276,                 2.8968,                 2.7636,                 1.4043,              0.0018944,              0.0018944,              0.0018944
                     18,                 2.0687,                 2.5289,                  2.036,                 1.3101,                0.25185,                0.23404,                0.13769,                0.03714,                0.27475,                0.19149,                0.14161,                0.03678,                 2.6948,                 3.3054,                 2.9255,                 1.4982,              0.0018878,              0.0018878,              0.0018878
                     19,                 2.0715,                 2.4832,                 2.0099,                  1.295,                0.34398,                0.31915,                0.24313,                0.08562,                0.33088,                0.30699,                0.23283,                0.08848,                 2.3161,                 2.7522,                 2.7044,                 1.3671,              0.0018812,              0.0018812,              0.0018812
