                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.936,                 1.6535,                 1.2322,                0.63798,                0.60232,                0.55657,                0.23404,                  1.878,                 1.4527,                 1.2903,             0.00066154,             0.00066154,             0.00066154
                      2,                  1.941,                 1.6635,                 1.2167,                0.63027,                0.57919,                0.54348,                0.22973,                 1.9025,                 1.4818,                 1.2893,              0.0013238,              0.0013238,              0.0013238
                      3,                 1.9771,                  1.696,                  1.245,                0.54229,                0.50965,                0.47701,                 0.1864,                 1.9879,                 1.6101,                 1.3371,              0.0019817,              0.0019817,              0.0019817
                      4,                 1.9315,                 1.7398,                 1.2327,                0.56081,                0.47683,                0.43537,                0.19146,                 1.9306,                 1.7187,                 1.3258,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.9538,                 1.7423,                 1.2295,                0.59381,                0.48069,                0.47902,                0.20187,                 1.9593,                 1.6542,                 1.3329,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.9714,                 1.6974,                 1.2357,                0.52747,                0.44595,                0.43994,                0.17883,                 1.9596,                  1.703,                 1.3335,               0.001967,               0.001967,               0.001967
                      7,                 1.9761,                 1.6656,                 1.2407,                0.59246,                0.46869,                0.49212,                0.21731,                 1.8976,                 1.6348,                 1.3121,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.9712,                  1.722,                 1.2343,                0.58177,                    0.5,                0.47809,                0.18546,                 1.9619,                 1.5503,                 1.3445,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.9625,                 1.7256,                 1.2315,                0.59726,                0.51158,                0.51561,                0.22217,                 1.8924,                 1.5053,                 1.3035,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.9634,                 1.7118,                 1.2375,                0.54303,                0.45367,                0.43728,                0.18446,                  1.948,                  1.616,                 1.3245,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.9597,                 1.7169,                 1.2262,                0.53051,                0.49228,                0.46923,                0.21619,                 1.8696,                 1.5418,                  1.287,               0.001934,               0.001934,               0.001934
                     12,                 1.9799,                 1.6809,                 1.2395,                 0.6392,                0.55985,                0.52771,                0.23658,                 1.8421,                 1.4808,                 1.2838,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.9754,                 1.7095,                 1.2449,                0.47614,                0.47025,                0.41167,                0.16065,                 2.0884,                 1.6544,                  1.395,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.9515,                 1.6534,                  1.231,                0.63166,                 0.5695,                0.54875,                 0.2127,                 1.9097,                 1.5043,                 1.3255,              0.0019142,              0.0019142,              0.0019142
